A-1,%idle,,A-2,%idle,,A-3,%idle,,B-1,%idle,,B-2,%idle,,B-3,%idle,,,
4:18:29,100,,4:33:22,100,,5:11:25,100,,5:23:23,100,,5:39:24,100,,5:59:26,100,,,
4:18:30,100,,4:33:23,100,,5:11:26,100,,5:23:24,100,,5:39:25,100,,5:59:27,100,,,
4:18:31,99.01,,4:33:24,100,,5:11:27,100,,5:23:25,100,,5:39:26,98.02,,5:59:28,100,,,
4:18:32,100,,4:33:25,100,,5:11:28,100,,5:23:26,99.01,,5:39:27,100,,5:59:29,100,,,
4:18:33,100,,4:33:26,100,,5:11:29,100,,5:23:27,100,,5:39:28,100,,5:59:30,100,,,
4:18:34,80,,4:33:27,94,,5:11:30,100,,5:23:28,86.6,,5:39:29,100,,5:59:31,92.93,,,
4:18:35,8,,4:33:28,38.71,,5:11:31,100,,5:23:29,41.84,,5:39:30,100,,5:59:32,50.54,,,
4:18:36,85.86,,4:33:29,91.92,,5:11:32,98.99,,5:23:30,100,,5:39:31,66.67,,5:59:33,90.91,,,
4:18:37,99.01,,4:33:30,100,,5:11:33,62.64,,,,,5:39:32,93.88,,5:59:34,100,,,
4:18:38,100,,4:33:31,99.01,,5:11:34,89.9,,,,,5:39:33,100,,,,,,
,,,4:33:32,100,,5:11:35,100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
AVG,94.11863636,,,95.60813953,,,96.51933333,,,95.66119048,,,96.71136364,,,97.57674419,,,
load,94.10590909,,,95.425,,,95.17363636,,,94.666,,,95.08238095,,,98.24636364,,,
res,94.38652174,,,93.74583333,,,97.81541667,,,96.56590909,,,98.27375,,,97.01727273,,,
,237.4732843,195.2362358,,238.5496183,202.5521572,,239.6931927,205.2966537,,237.9252915,207.8137988,,238.5496183,202.5931929,,238.492726,205.5921053,,
,,,A,,B,,,,,,,,,,,,,,
,,AVG  ,95.41536974,,96.6497661,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,CPU,4.584630256,,3.3502339,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,T,238.5720318,,238.3225453,,,,,,,,,,,,,,
,,T-load,201.0283489,,228.285381,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
